segment_id,mode,cost_bin,capacity_bin,reliability_bin,lane_count,capacity,unit_cost,transit_days,reliability,allocation,utilization,objective_score
truck|cost_10|cap_7|rel_2,truck,cost_10,cap_7,rel_2,23,65.59711,0.27678504131978454,1.0,0.0001007964510438,65.59711,1.0,0.6252546567536708
truck|cost_3|cap_7|rel_4,truck,cost_3,cap_7,rel_4,25,65.31046,0.16134129909635894,1.0,0.41025935585082207,65.31046,1.0,0.2828604234348101
truck|cost_2|cap_7|rel_1,truck,cost_2,cap_7,rel_1,20,63.916850000000004,0.15573781155126326,1.0,0.0,63.916850000000004,1.0,0.36344552847855616
truck|cost_10|cap_7|rel_4,truck,cost_10,cap_7,rel_4,24,63.67467,0.28280481426969367,1.0,0.3782569478343976,63.67467,1.0,0.5528243186559425
truck|cost_2|cap_7|rel_2,truck,cost_2,cap_7,rel_2,22,62.41655,0.15373092308917588,1.0,0.0,62.41655,1.0,0.35910451687187445
truck|cost_9|cap_6|rel_5,truck,cost_9,cap_6,rel_5,51,61.819735,0.22610533030196894,1.0,0.816024208311311,61.819735,1.0,0.3312584888673833
truck|cost_10|cap_8|rel_3,truck,cost_10,cap_8,rel_3,10,61.29927,0.2888274078670066,1.0,0.1324406441950076,61.29927,1.0,0.6213983074677341
truck|cost_7|cap_7|rel_4,truck,cost_7,cap_7,rel_4,27,60.96436,0.19230641229517625,1.0,0.41120655688827107,60.96436,1.0,0.34962565150876174
truck|cost_3|cap_7|rel_3,truck,cost_3,cap_7,rel_3,22,59.31706,0.16225494329114873,1.0,0.10845906250647182,59.31706,1.0,0.35303409760527327
truck|cost_2|cap_7|rel_3,truck,cost_2,cap_7,rel_3,25,56.6048,0.15414997620698825,1.0,0.11300057662942725,56.6048,1.0,0.3344763621289802
truck|cost_10|cap_9|rel_5,truck,cost_10,cap_9,rel_5,4,56.2774,0.29204929158650395,1.0,0.8437916463802522,56.2774,1.0,0.46762438177081894
truck|cost_10|cap_6|rel_5,truck,cost_10,cap_6,rel_5,44,53.270855,0.27017177879594745,1.0,0.826207944468194,53.270855,1.0,0.42427546789305953
truck|cost_7|cap_6|rel_5,truck,cost_7,cap_6,rel_5,46,51.996431,0.19151793718415086,1.0,0.8262987840226692,51.996431,1.0,0.25412229745873594
truck|cost_4|cap_7|rel_1,truck,cost_4,cap_7,rel_1,16,50.49039,0.1673489304802936,1.0,0.0,50.49039,1.0,0.38856102592132724
truck|cost_1|cap_8|rel_3,truck,cost_1,cap_8,rel_3,7,50.24571,0.14120419304789916,1.0,0.04366116402491569,50.24571,1.0,0.322142446398172
truck|cost_4|cap_7|rel_2,truck,cost_4,cap_7,rel_2,20,48.78487,0.16752111528466387,1.0,2.4114150511289624e-06,48.78487,1.0,0.388932926346443
truck|cost_10|cap_6|rel_1,truck,cost_10,cap_6,rel_1,37,47.963317,0.27820447258828634,1.0,0.0,47.963317,1.0,0.6283477425459593
truck|cost_7|cap_6|rel_2,truck,cost_7,cap_6,rel_2,37,46.947132,0.19359202831093494,1.0,6.240136873594055e-05,46.947132,1.0,0.4453122085548372
truck|cost_6|cap_7|rel_2,truck,cost_6,cap_7,rel_2,21,46.56226,0.17886301228488663,1.0,0.0,46.56226,1.0,0.4134666266551287
truck|cost_5|cap_7|rel_2,truck,cost_5,cap_7,rel_2,15,44.64966,0.17278460638149812,1.0,8.263228069867641e-07,44.64966,1.0,0.4003185091550396
truck|cost_5|cap_7|rel_3,truck,cost_5,cap_7,rel_3,16,43.72604,0.17474073120527342,1.0,0.0899180062888926,43.72604,1.0,0.3842312506278358
truck|cost_6|cap_6|rel_4,truck,cost_6,cap_6,rel_4,37,43.504821,0.18141479404099906,1.0,0.3920211385280749,43.504821,1.0,0.3304017775979852
truck|cost_1|cap_7|rel_2,truck,cost_1,cap_7,rel_2,14,43.49947,0.13870388382724874,1.0,0.0003293994880035857,43.49947,1.0,0.3265257593828119
truck|cost_8|cap_6|rel_4,truck,cost_8,cap_6,rel_4,36,43.30333,0.20790852430902088,1.0,0.4020916184155821,43.30333,1.0,0.38543357997294386
truck|cost_6|cap_7|rel_3,truck,cost_6,cap_7,rel_3,18,42.08899,0.180546246550173,1.0,0.10471601663315568,42.08899,1.0,0.3934450172019377
truck|cost_6|cap_6|rel_5,truck,cost_6,cap_6,rel_5,37,41.895625,0.1829395455550326,1.0,0.8208695010536511,41.895625,1.0,0.23679360605953445
truck|cost_8|cap_7|rel_2,truck,cost_8,cap_7,rel_2,15,41.65668,0.20660894394334092,1.0,0.0,41.65668,1.0,0.4734826233798652
truck|cost_7|cap_6|rel_4,truck,cost_7,cap_6,rel_4,40,41.484736,0.1928943779933106,1.0,0.42446927243561755,41.484736,1.0,0.34790049589581606
truck|cost_9|cap_6|rel_4,truck,cost_9,cap_6,rel_4,37,41.10152,0.22421955739490304,1.0,0.42393850676728817,41.10152,1.0,0.4157785414069261
truck|cost_9|cap_6|rel_2,truck,cost_9,cap_6,rel_2,34,40.850904,0.22435488461045958,1.0,0.0,40.850904,1.0,0.5118680821947124
truck|cost_10|cap_7|rel_3,truck,cost_10,cap_7,rel_3,12,40.548230000000004,0.2774446374153795,1.0,0.11950129683020888,40.548230000000004,1.0,0.5997006276225468
truck|cost_5|cap_6|rel_4,truck,cost_5,cap_6,rel_4,34,40.495797,0.17331140797459976,1.0,0.40402897073002864,40.495797,1.0,0.3101603079861576
truck|cost_9|cap_6|rel_1,truck,cost_9,cap_6,rel_1,33,39.885688,0.22834560730077078,1.0,0.0,39.885688,1.0,0.5205002378151948
truck|cost_8|cap_7|rel_3,truck,cost_8,cap_7,rel_3,16,37.32089,0.20469230365764773,1.0,0.07684799037804782,37.32089,1.0,0.4519715854418338
truck|cost_3|cap_6|rel_4,truck,cost_3,cap_6,rel_4,35,37.257115,0.16152110654351406,1.0,0.4299061669255708,37.257115,1.0,0.2788097931998149
truck|cost_3|cap_7|rel_2,truck,cost_3,cap_7,rel_2,14,37.1678,0.16164840299393313,1.0,0.0005236170714669928,37.1678,1.0,0.3761121461699758
truck|cost_10|cap_6|rel_2,truck,cost_10,cap_6,rel_2,35,37.001292,0.2963607294676066,1.0,2.7746919905512005e-07,37.001292,1.0,0.6676206754993196
truck|cost_5|cap_6|rel_1,truck,cost_5,cap_6,rel_1,26,36.94335,0.1744023957378446,1.0,0.0,36.94335,1.0,0.4038180644308356
truck|cost_8|cap_6|rel_2,truck,cost_8,cap_6,rel_2,30,36.484564,0.20776400103816556,1.0,0.0,36.484564,1.0,0.4759810762584067
truck|cost_9|cap_6|rel_3,truck,cost_9,cap_6,rel_3,32,36.322915,0.22878210139634098,1.0,0.09663713171984818,36.322915,1.0,0.49960743475992053
truck|cost_1|cap_7|rel_4,truck,cost_1,cap_7,rel_4,15,35.20764,0.1336673687885502,1.0,0.3890326755049263,35.20764,1.0,0.22779673436819353
truck|cost_4|cap_7|rel_3,truck,cost_4,cap_7,rel_3,11,33.75295,0.16713459629379565,1.0,0.14474808396356253,33.75295,1.0,0.3553888771307205
truck|cost_4|cap_6|rel_3,truck,cost_4,cap_6,rel_3,28,32.49564,0.16587917340615807,1.0,0.1474951652832754,32.49564,1.0,0.3520525731361561
truck|cost_7|cap_6|rel_3,truck,cost_7,cap_6,rel_3,27,31.695254,0.1930759273627665,1.0,0.11514882698754449,31.695254,1.0,0.41818992692043716
truck|cost_3|cap_6|rel_3,truck,cost_3,cap_6,rel_3,28,30.110441,0.1613752031963387,1.0,0.07818994569149891,30.110441,1.0,0.35797104280840086
truck|cost_2|cap_6|rel_5,truck,cost_2,cap_6,rel_5,27,29.691313,0.15531717700878134,1.0,0.7547274280716505,29.691313,1.0,0.19199091948750555
truck|cost_7|cap_7|rel_1,truck,cost_7,cap_7,rel_1,10,29.25206,0.19233715920356925,1.0,0.0,29.25206,1.0,0.4426119574839773
truck|cost_2|cap_6|rel_1,truck,cost_2,cap_6,rel_1,27,29.126891,0.15507983698889682,1.0,0.0,29.126891,1.0,0.36202229282490994
truck|cost_6|cap_7|rel_1,truck,cost_6,cap_7,rel_1,10,28.739579999999997,0.18279386718600513,1.0,0.0,28.739579999999997,1.0,0.42196928491057994
truck|cost_4|cap_6|rel_4,truck,cost_4,cap_6,rel_4,28,28.51089,0.16697737595489565,1.0,0.32647463313757824,28.51089,1.0,0.3139842941788305
truck|cost_7|cap_7|rel_2,truck,cost_7,cap_7,rel_2,12,28.25605,0.19462488944208603,1.0,0.00012825924146090298,28.25605,1.0,0.44753146293689744
truck|cost_6|cap_5|rel_5,truck,cost_6,cap_5,rel_5,53,27.604313,0.18226447209475516,1.0,0.7793759861226687,27.604313,1.0,0.24470961891347034
truck|cost_1|cap_7|rel_5,truck,cost_1,cap_7,rel_5,10,27.16996,0.13065260462805012,1.0,0.8034988932226724,27.16996,1.0,0.12761925152686526
truck|cost_3|cap_6|rel_5,truck,cost_3,cap_6,rel_5,21,26.497216,0.16116671293738905,1.0,0.7653120917711698,26.497216,1.0,0.20225198937483832
truck|cost_10|cap_6|rel_4,truck,cost_10,cap_6,rel_4,23,26.411147,0.25930845371691336,1.0,0.38698012797259174,26.411147,1.0,0.5000292156894351
truck|cost_8|cap_6|rel_3,truck,cost_8,cap_6,rel_3,22,26.251068,0.20454054014963693,1.0,0.10605492924152422,26.251068,1.0,0.4450434593890492
truck|cost_2|cap_6|rel_3,truck,cost_2,cap_6,rel_3,28,26.246418,0.15511589735211545,1.0,0.09993574929314884,26.246418,1.0,0.33951794506111577
truck|cost_1|cap_6|rel_5,truck,cost_1,cap_6,rel_5,24,25.864992,0.13154628300925017,1.0,0.765664216366344,25.864992,1.0,0.13810177928256825
truck|cost_6|cap_6|rel_3,truck,cost_6,cap_6,rel_3,22,25.13201,0.18205718310620037,1.0,0.07865985231099354,25.13201,1.0,0.40260113398522657
