state,handling_capacity,storage_capacity,node_count,handling_share,handling_share_pct
XX,529099062823,793648594234.5,13067,0.8248680132436229,82.48680132436229
CA,76022723779,114034085668.5,1669,0.11851979625586762,11.851979625586761
IL,17516052694,26274079041.0,822,0.02730761137334283,2.7307611373342833
TX,11380079529,17070119293.5,404,0.017741599354865835,1.7741599354865836
NY,7416897810,11125346715.0,1144,0.011562979772300835,1.1562979772300834
