event_key,discovery_provider,discovery_query,url,title,source,published_at
japan_earthquake_2011,verified_seed,existing_replay_evidence,https://www.bbc.com/news/world-asia-pacific-12709598,Japan earthquake: Tsunami hits north-east,BBC News,2011-03-11
japan_earthquake_2011,google_news_rss,Japan earthquake semiconductor supply chain after:2011-03-01 before:2011-05-01,https://news.google.com/rss/articles/CBMizgFBVV95cUxQaUx4RTl2WWVFejIxWFBlbVhPY254RUdUUy02bFBLUXBKa1E4MXh6Q3FFUXhRZGtXYnh4Ni1BOGxBOEQxeUFadVpUdXVpaEJFUjNna2dWLWgweGd3T2RnLUtRTmRoTzNLRk55V2pZd2JKbDU3c0lVWE1BU1hIMGVfbmNZTm00ZHJIX1RoZEZKM3ZWczJxWVdKMm1jTUtMSmMzQ1JSR3pSaFhwYU5BQi01UWxNeDVkWVpXTjNydnRvZkJzU3BsaHBUcTVaTUxsZw?oc=5,"Japan Earthquake Affects the Global IT Supply Chain (DRAM, LCD, LED, Solar, Battery)",TrendForce,2011-03-14T07:00:00+00:00
japan_earthquake_2011,google_news_rss,Japan earthquake semiconductor supply chain after:2011-03-01 before:2011-05-01,https://news.google.com/rss/articles/CBMiggFBVV95cUxNLTROdENKLU5hLVhGODhrUGFySEFYdUtWNjh6ZlVDbmxLNl9PREl3LXNnOWk2dTJrODdmR2J1SHJSUklqWThCWDZ4UEtnRXpBalBTUi10RnZ4SS0xWVBuTmtncmRZam5FLWNZUXlzVkJqbEJodFJEdS1pQmdNWUJsMENB0gGHAUFVX3lxTFA1R1NyWmNMM29SUjFGUzcxZldpaTZ0NjZKdklVTldmMXFBd1VMRXhjaTlYc2tEbGdYNjNnUHRXTVRaNWlvNERmbTE3cXgwQktmUDBBSkI4aDQ0emh0LXNZRzVjQ2RMei13UjU3ZldlcmFIUGdLTHJQeWNkWUQzUjAwQnR4aU5HUQ?oc=5,Japan quake strains supply chain,Al Jazeera,2011-03-24T07:00:00+00:00
japan_earthquake_2011,google_news_rss,Japan earthquake semiconductor supply chain after:2011-03-01 before:2011-05-01,https://news.google.com/rss/articles/CBMiUEFVX3lxTE1DOHo0S1ptaXlONFlPWG5fenZMM2hZOEYwOU5GOGhpTGhFdk1WYXFDdXVBTEs0U2tyNGtsOWFpSk9TdUZtbDkybjdZcktQNHp2?oc=5,Japan supply problem spreads as firms cut output,NBC News,2011-03-22T07:00:00+00:00
japan_earthquake_2011,google_news_rss,Japan earthquake semiconductor supply chain after:2011-03-01 before:2011-05-01,https://news.google.com/rss/articles/CBMicEFVX3lxTE9SbExpVy1OQ0RYdmFwbjdCWi1jX01wOUJNaXNDaDVaR1N5Z3k3dl9xbXBySTMyMjBuNE5QWVgtUGRnbk9JaktqLV9iYVN0LWZfV00tSnpLbmpueU96Ylc1WjRBaDZZa2hBVmkwMTZ0ZTE?oc=5,Hard blow to Japan economy,China.org.cn,2011-03-25T07:00:00+00:00
japan_earthquake_2011,google_news_rss,Japan earthquake semiconductor supply chain after:2011-03-01 before:2011-05-01,https://news.google.com/rss/articles/CBMib0FVX3lxTE5OMjdsVTlXRkFMRE1SN1BEZ2VKRkxzYlVqMDM0U2ZxZUFDbk9feFVnSUVBWTZTUVROM0hqU2NpbHFaUkRrUjFLdVRoWEsxdm5qcnUwRm9IZ082TUNSME96RUYtSXQxclFzOE5wU2pLbw?oc=5,A Japanese Plant Struggles to Produce a Critical Auto Part (Published 2011),The New York Times,2011-04-27T07:00:00+00:00
japan_earthquake_2011,google_news_rss,Japan earthquake semiconductor supply chain after:2011-03-01 before:2011-05-01,https://news.google.com/rss/articles/CBMiaEFVX3lxTE4teGtnRkJyRmdsMHNNSTh6Z1RFcWtuejVmMWhDMXEtT1pFb0l6SkhpNFctbGZ0djRCTXV4NFpQRklwczhYY0g4N212aXFBb0theXQ4OGtsODAxeGNjZFY2QXJfRkJYLUlT?oc=5,Stress Test for the Global Supply Chain (Published 2011),The New York Times,2011-03-19T07:00:00+00:00
japan_earthquake_2011,google_news_rss,Japan earthquake semiconductor supply chain after:2011-03-01 before:2011-05-01,https://news.google.com/rss/articles/CBMitAFBVV95cUxONnVRSl9rMnZVeWZvc1VxZTdPNHpCRmk2d1V0TFhKa3ZnNl9xd0cwS0VkX0NKd0RubzdicWJwSXJCdTBma2VVS0ljZ0hiSkZDdERYOGVrM1FNQ0c4d09fSVE1X3BIdkFXd3FFZVRmNFZBQTRUQU1iYUxZb25kdUFRVWswODhyd0cwMWNNSW5NRDRWNVcyblJiZF9MdThDejZ3WFlEY21vTW5rU2EzR2lCaFJ4Tzk?oc=5,Electronic gadgets could cost more due to Jap quake,Free Malaysia Today,2011-03-31T07:00:00+00:00
