horizon_months,wape_baseline_pct,wape_module1_pct,wape_module1_calibrated_pct,improvement_vs_module1_pct_pts,improvement_vs_baseline_pct_pts,rows
1,10.965618000493185,11.548729448481287,11.873373643005165,-0.32464419452387716,-0.9077556425119795,24
3,12.645069257334448,11.605793789127091,15.047824143675479,-3.442030354548388,-2.4027548863410306,24
6,11.916979186607831,11.917150988768121,12.46344128044258,-0.5462902916744596,-0.5464620938347498,24
