forecast_date,horizon_months,actual_supply,baseline_q50,module1_q50
2012-02-01,1,12402666704.0,12542281988.957865,12461227938.541656
2012-03-01,1,14407339029.0,14162417287.045994,13985914243.285776
2012-04-01,1,12508837271.0,12534174433.485624,12520783979.796951
2012-05-01,1,13638829321.0,13540685048.938868,13477992661.069529
2012-06-01,1,13691511869.0,13647622196.307177,13688517363.121038
2012-07-01,1,13236516471.0,13251236880.682842,13251697222.1431
2012-08-01,1,13454126348.0,13395253094.543056,13349397464.68992
2012-09-01,1,13136362011.0,13111848895.38066,13130329675.91483
2012-10-01,1,13806343142.0,13611921167.478392,13611068554.092257
2012-11-01,1,12995830345.0,13031161488.567356,13004204974.20394
2012-12-01,1,12979986874.0,13003512719.839684,13081865213.28916
2013-01-01,1,13270087181.0,13263771655.201122,13341005752.46637
2013-02-01,1,12442104437.0,12395508504.269522,12355932859.710363
2013-03-01,1,13934248352.0,13750094588.90633,13698969244.408
2013-04-01,1,13877522014.0,13835805979.336288,13884849994.13181
2013-05-01,1,14885665265.0,13228171869.972605,13473177735.736267
2013-06-01,1,14063161830.0,14089561811.765123,14110868265.806135
2013-07-01,1,14890811919.0,14892119179.61869,14911088267.97184
2013-08-01,1,14526726621.0,14615565091.945122,14596195397.888582
2013-09-01,1,15218483480.0,15119947424.329851,14976334596.33765
2013-10-01,1,15160724733.0,15059804713.060764,15136860029.040976
2013-11-01,1,13704923064.0,13781864356.003258,13700070325.681309
2013-12-01,1,13322370066.0,13373861369.685385,13335563086.940474
2014-01-01,1,12042272680.0,12261114450.764702,12216395155.514168
2014-02-01,1,12129411973.0,12221805336.350977,12244098655.954096
2014-03-01,1,13642635317.0,13646343108.1141,13629227851.912111
2014-04-01,1,14739015105.0,14455674181.294289,14530875769.225191
2014-05-01,1,14441958963.0,14400851773.830082,14308472651.459911
2014-06-01,1,14131294655.0,14145291855.207024,14148902558.337954
2014-07-01,1,14115471456.0,14189995174.60173,14104499558.291042
2014-08-01,1,15314135510.0,15101640363.274471,15177523478.692415
2014-09-01,1,15311949482.0,14432730572.252146,14628765563.729214
2014-10-01,1,16135798066.0,15454157158.255053,15491721106.582989
2014-11-01,1,13401732288.0,13667478675.02774,13539364848.904297
2014-12-01,1,14489462174.0,14425413888.50183,14492558500.176456
2015-01-01,1,13320512109.0,13434193421.077648,13367639962.983246
2015-02-01,1,12147033380.0,12168228481.005829,12171584223.199287
2015-03-01,1,13640767734.0,13641939672.50697,13617070776.862831
2015-04-01,1,13846694397.0,13846957413.245672,13848248006.798336
2015-05-01,1,13586956224.0,13627593050.709251,13639367174.84426
2015-06-01,1,13610916537.0,13608907266.06058,13627221449.964935
2015-07-01,1,14322958353.0,14295965154.980326,14322783881.746044
2015-08-01,1,13125503297.0,13181001864.802578,13152864063.606731
2015-09-01,1,13861045488.0,13857488851.009336,13781640550.925129
2015-10-01,1,13554712255.0,13577876834.63831,13567527945.725674
2015-11-01,1,11855356229.0,12076538890.7922,12014566914.696018
2015-12-01,1,13581128076.0,13405092443.18243,13508085104.69035
2016-01-01,1,12456584762.0,12488368284.184937,12518304358.968792
2016-02-01,1,12005416664.0,12045515050.92396,12081491225.763302
2016-03-01,1,15882037156.0,14433577482.113132,13554922464.64356
2016-04-01,1,14256086284.0,13896007074.18695,13830396219.602198
2016-05-01,1,14436541054.0,14441221899.782772,14435979964.775526
2016-06-01,1,15024868444.0,14975736243.982162,14923370683.011436
2016-07-01,1,14551800842.0,14516569218.461964,14469695608.613802
2016-08-01,1,15153544611.0,15141890419.344408,15122761390.01629
2016-09-01,1,14511045046.0,14217363172.117996,14183127111.58574
2016-10-01,1,15428124242.0,15398562495.335464,15298270696.888475
2016-11-01,1,14306893703.0,14447401774.019342,14332892583.461248
2016-12-01,1,14995700048.0,15005381652.51698,15008247493.84827
2017-01-01,1,16015322383.0,15683140740.14564,15985541402.35345
2017-02-01,1,14640813035.0,14644643732.27608,14635323844.035858
2017-03-01,1,16666647849.0,16300884082.378134,16454460651.486288
2017-04-01,1,14313490890.0,14007653664.002975,14080251618.87976
2017-05-01,1,16206726644.0,16130120754.347818,16065511134.093472
2017-06-01,1,16221936802.0,16156695917.797316,16187203358.73375
2017-07-01,1,14538702735.0,14750329881.42111,14607458189.62894
2017-08-01,1,16321024221.0,16362506192.745138,16327929779.349998
2017-09-01,1,16528007735.0,16557368611.272682,16558375793.751495
2017-10-01,1,15792710618.0,15786191980.944565,15772104913.45184
2017-11-01,1,17919251284.0,17548715090.734596,17692748688.606205
2017-12-01,1,16555913336.0,16529583939.365875,16550976689.88658
2018-01-01,1,15792705183.0,15762872540.291697,15784782731.1904
2018-02-01,1,16027285171.0,16046030626.336128,16138022962.439522
2018-03-01,1,16269499964.0,16222287329.157627,16169346160.64997
2018-04-01,1,16735417807.0,16734275315.634308,16751333912.516594
2018-05-01,1,18659045468.0,17369670916.93091,17568728908.37378
2018-06-01,1,16734974592.0,16711442930.051577,16752618778.591408
2018-07-01,1,17091457368.0,17140320435.788897,17165742819.29255
2018-08-01,1,17662177999.0,17018963428.674397,17399449786.606613
2018-09-01,1,16163468299.0,16076697536.707968,16113315655.779518
2018-10-01,1,15018312664.0,14865507030.617409,14860623877.063702
2018-11-01,1,16089025644.0,16092505576.28214,16078111756.817766
2018-12-01,1,17686714202.0,17413670820.030064,17213891989.644264
2019-01-01,1,14564220624.0,14731034204.969692,14655782813.374231
2019-02-01,1,12938284687.0,12952969048.409538,12970282773.084732
2019-03-01,1,16715625564.0,16759554588.505053,16795107310.078716
2019-04-01,1,12718876580.0,12932002129.740711,12786645346.984632
2019-05-01,1,15572264308.0,15585306992.0634,15630811620.610268
2019-06-01,1,15266537991.0,15296271998.050167,15298043276.24792
2019-07-01,1,14621505917.0,14667301673.942944,14712372904.027628
2019-08-01,1,18700004068.0,16866738658.558498,16835847599.07241
2019-09-01,1,15128612959.0,15109511478.287434,15147543260.155727
2019-10-01,1,19059604038.0,18315526825.310097,18868447757.653748
2019-11-01,1,15102976816.0,15114219472.867771,15209439813.196594
2019-12-01,1,18128386618.0,18029224107.148624,18118158185.595352
2020-01-01,1,15394419240.0,20384087062.115295,18536282121.869865
2021-02-01,1,14015649158.0,16081514826.362556,14983258517.05394
2021-03-01,1,23304825779.0,15661044979.288143,15410763910.812204
2021-04-01,1,17505916872.0,14964500059.419588,14871383093.413054
2021-05-01,1,20882183495.0,15433692414.648005,16905531403.319551
2021-06-01,1,21960801156.0,14295753704.104372,14774684425.107056
2021-07-01,1,18948651730.0,16283847486.688154,17764017840.38326
2021-08-01,1,22797670023.0,15647826814.255426,17837518263.31138
2021-09-01,1,20690069970.0,14910184572.679308,16430315429.37854
2021-10-01,1,17404362145.0,17122963749.374405,17405831157.35372
2021-11-01,1,19612659252.0,17263312971.96496,18074430280.87599
