forecast_date,horizon_months,actual_supply,baseline_q50,module1_q50,module1_q50_scaled
2012-02-01,1,12402666704.0,12542281988.957865,12461227938.541656,13530567847.342958
2012-03-01,1,14407339029.0,14162417287.045994,13985914243.285776,15186092615.367485
2012-04-01,1,12508837271.0,12534174433.485624,12520783979.796951,13595234592.939638
2012-05-01,1,13638829321.0,13540685048.938868,13477992661.069529,14634584572.72502
2012-06-01,1,13691511869.0,13647622196.307177,13688517363.121038,14863175107.999584
2012-07-01,1,13236516471.0,13251236880.682842,13251697222.1431,14388869960.56645
2012-08-01,1,13454126348.0,13395253094.543056,13349397464.68992,14494954189.745256
2012-09-01,1,13136362011.0,13111848895.38066,13130329675.91483,14257087456.722824
2012-10-01,1,13806343142.0,13611921167.478392,13611068554.092257,14779080156.007038
2012-11-01,1,12995830345.0,13031161488.567356,13004204974.20394,14120139569.873978
2012-12-01,1,12979986874.0,13003512719.839684,13081865213.28916,14204464095.447693
2013-01-01,1,13270087181.0,13263771655.201122,13341005752.46637,14485842356.452734
2013-02-01,1,12442104437.0,12395508504.269522,12355932859.710363,13416237043.416994
2013-03-01,1,13934248352.0,13750094588.90633,13698969244.408,14874523900.396538
2013-04-01,1,13877522014.0,13835805979.336288,13884849994.13181,15076355702.852701
2013-05-01,1,14885665265.0,13228171869.972605,13473177735.736267,14629356462.443842
2013-06-01,1,14063161830.0,14089561811.765123,14110868265.806135,15321769363.104433
2013-07-01,1,14890811919.0,14892119179.61869,14911088267.97184,16190658936.869116
2013-08-01,1,14526726621.0,14615565091.945122,14596195397.888582,15848744049.803444
2013-09-01,1,15218483480.0,15119947424.329851,14976334596.33765,16261504272.264442
2013-10-01,1,15160724733.0,15059804713.060764,15136860029.040976,16435804932.610971
2013-11-01,1,13704923064.0,13781864356.003258,13700070325.681309,14875719469.159697
2013-12-01,1,13322370066.0,13373861369.685385,13335563086.940474,14479932637.480274
2014-01-01,1,12042272680.0,12261114450.764702,12216395155.514168,13264725139.1969
2014-02-01,1,12129411973.0,12221805336.350977,12244098655.954096,13294805970.248226
2014-03-01,1,13642635317.0,13646343108.1141,13629227851.912111,14798797764.289581
2014-04-01,1,14739015105.0,14455674181.294289,14530875769.225191,15777819123.9653
2014-05-01,1,14441958963.0,14400851773.830082,14308472651.459911,15536330846.146677
2014-06-01,1,14131294655.0,14145291855.207024,14148902558.337954,15363067506.286276
2014-07-01,1,14115471456.0,14189995174.60173,14104499558.291042,15314854135.363007
2014-08-01,1,15314135510.0,15101640363.274471,15177523478.692415,16479957849.733538
2014-09-01,1,15311949482.0,14432730572.252146,14628765563.729214,15884109171.192713
2014-10-01,1,16135798066.0,15454157158.255053,15491721106.582989,16821117833.534071
2014-11-01,1,13401732288.0,13667478675.02774,13539364848.904297,14701223314.551563
2014-12-01,1,14489462174.0,14425413888.50183,14492558500.176456,15736213721.099243
2015-01-01,1,13320512109.0,13434193421.077648,13367639962.983246,14514762138.213919
2015-02-01,1,12147033380.0,12168228481.005829,12171584223.199287,13216068829.964815
2015-03-01,1,13640767734.0,13641939672.50697,13617070776.862831,14785597449.714582
2015-04-01,1,13846694397.0,13846957413.245672,13848248006.798336,15036612775.798828
2015-05-01,1,13586956224.0,13627593050.709251,13639367174.84426,14809807176.64735
2015-06-01,1,13610916537.0,13608907266.06058,13627221449.964935,14796619186.23859
2015-07-01,1,14322958353.0,14295965154.980326,14322783881.746044,15551870171.26941
2015-08-01,1,13125503297.0,13181001864.802578,13152864063.606731,14281555596.064098
2015-09-01,1,13861045488.0,13857488851.009336,13781640550.925129,14964289509.963696
2015-10-01,1,13554712255.0,13577876834.63831,13567527945.725674,14731803181.496645
2015-11-01,1,11855356229.0,12076538890.7922,12014566914.696018,13045577337.76286
2015-12-01,1,13581128076.0,13405092443.18243,13508085104.69035,14667259350.211796
2016-01-01,1,12456584762.0,12488368284.184937,12518304358.968792,13592542187.502825
2016-02-01,1,12005416664.0,12045515050.92396,12081491225.763302,13118244649.202677
2016-03-01,1,15882037156.0,14433577482.113132,13554922464.64356,14718115981.657984
2016-04-01,1,14256086284.0,13896007074.18695,13830396219.602198,15017229066.661577
2016-05-01,1,14436541054.0,14441221899.782772,14435979964.775526,15674779991.155355
2016-06-01,1,15024868444.0,14975736243.982162,14923370683.011436,16203995347.280844
2016-07-01,1,14551800842.0,14516569218.461964,14469695608.613802,15711388887.864458
2016-08-01,1,15153544611.0,15141890419.344408,15122761390.01629,16420496441.921328
2016-09-01,1,14511045046.0,14217363172.117996,14183127111.58574,15400228983.634098
2016-10-01,1,15428124242.0,15398562495.335464,15298270696.888475,16611066793.108736
2016-11-01,1,14306893703.0,14447401774.019342,14332892583.461248,15562846334.70055
2016-12-01,1,14995700048.0,15005381652.51698,15008247493.84827,16296155722.916206
2017-01-01,1,16015322383.0,15683140740.14564,15985541402.35345,17357314510.881676
2017-02-01,1,14640813035.0,14644643732.27608,14635323844.035858,15891230239.604958
2017-03-01,1,16666647849.0,16300884082.378134,16454460651.486288,17866473298.97295
