event_key,discovery_provider,discovery_query,url,title,source,published_at
covid_q1_2020,google_news_rss,China coronavirus lockdown electronics supply chain after:2020-01-01 before:2020-05-01,https://news.google.com/rss/articles/CBMijgFBVV95cUxNU2FQVWVqLVBSVExwdWdOSHFobHZ6a3gzR2tZNkZ5TWlZVkFxanNyb0ZfcGcwaVQzYklUVElBVVRya2NZY3VKZnJNQkxtTFNsUzN1eF92eWpJVU1RSFNWaXNCbXBZbUtsaHk1VlB3bDQtWWNiMDhxSHlDLWNhaUZ2dXpaYjZxWEFZeVFCelVn?oc=5,Coronavirus: A lesson in supply chain risk management,Supply Chain Dive,2020-02-20T08:00:00+00:00
covid_q1_2020,google_news_rss,China coronavirus lockdown electronics supply chain after:2020-01-01 before:2020-05-01,https://news.google.com/rss/articles/CBMivwFBVV95cUxOYWZNLWh2ampMcElSdDdhYnhhc0xPaTY1YVZvRktlbWxrTWpiVlp0OHlpSE5GMFBfd2dLRDEtM2hIaHk2OFA5T2ltM25zV01talhwWEs2VHNrRDZBc3pwMXlGVlRRY0ZPZFhfOHE0QkJLV0JYUVFRbUs0b05LcnBwbXVQZnF2cWo5MVhnV1FtZ0NZOEFaU0lsVHVEcmg4c2RzeXdkOWxYdG56ajlRZl9wMFdsVk52Y3ZxMWVyREc0UQ?oc=5,The new coronavirus could have a lasting impact on global supply chains,The Economist,2020-02-15T08:00:00+00:00
covid_q1_2020,google_news_rss,China coronavirus lockdown electronics supply chain after:2020-01-01 before:2020-05-01,https://news.google.com/rss/articles/CBMiigFBVV95cUxQRXdTS1RWTUtDcWVEaG44TVRYSlpOVE5oU1B6VUsza2l3SVpsQmY5b3JSVlU2R2hWR2JQQW9OUzM1YXRjLVAzcXJIYTJuVzF3aHVFT2l3cHk4MFlqem5YYnpvUDFDMTQtZkhoUXNjdXFfVTl4emFKVWJVckJPSGtUa3hxMXBXeTZxUHc?oc=5,94% of the Fortune 1000 are seeing coronavirus supply chain disruptions: Report,Fortune,2020-02-21T08:00:00+00:00
covid_q1_2020,google_news_rss,China coronavirus lockdown electronics supply chain after:2020-01-01 before:2020-05-01,https://news.google.com/rss/articles/CBMif0FVX3lxTFBsUzVmTjZKdmttelYwNTRfYzVXaTR5NGRpOURVS3dBOEk0QldOZU03dG9SeXJEdEVqSWR5SVhiTWpwVjZ0RnU4WjN1ZTd2ekNkNmhYVEFqMVZjRXpPcGM3LWhjWlJWT0ZZLVo4cldoZ2xRUktmZThoVDBSZWUtcmc?oc=5,‘Like Europe in Medieval Times’: Virus Slows China’s Economy (Published 2020),The New York Times,2020-02-18T08:00:00+00:00
covid_q1_2020,google_news_rss,China coronavirus lockdown electronics supply chain after:2020-01-01 before:2020-05-01,https://news.google.com/rss/articles/CBMifkFVX3lxTE82WW9EcTRCU3JUN05ZR1JKeXpGMDlLdDhfcHA0SzJDbUNnbzl1d2ZWMVZzX1g1eEFpRlc0dEZHU1ZUQjMwNXlDUmFnNlRvQ1FrWmlZbWVJcWtfX25GTFZlU0ZkbkxmNjVzTUZubWxldFJ3NEprWml1d0IwY0JHZw?oc=5,China’s economy in the Corona crisis: A historic fall,Mercator Institute for China Studies (MERICS),2020-04-22T07:00:00+00:00
covid_q1_2020,google_news_rss,China coronavirus lockdown electronics supply chain after:2020-01-01 before:2020-05-01,https://news.google.com/rss/articles/CBMipwFBVV95cUxNMEYtZkd2b0tqV015Wm1LcEdwUEhDNndwSTNfMDJFOEZfQXo0V1ZfWGZjN010bnY5QzdNRHV0SGdtQ3VQV0xyZktDb1B3TGhza2g2TjJCNEszOXVXTjJzdzJfRGh6RmdHcGxaQVA3S3BRdWptVFdSYUpfRk1JRFVXb1RhTldPeTkwTFQxSUdNNXFuNVk2ZVVPSWFxeGlTLU9iaHBQMWk3Zw?oc=5,F-35 work continues in Italy despite coronavirus lockdown,Defense News,2020-03-10T07:00:00+00:00
covid_q1_2020,google_news_rss,China coronavirus lockdown electronics supply chain after:2020-01-01 before:2020-05-01,https://news.google.com/rss/articles/CBMiWkFVX3lxTE9GWnF2ejNrdUlvVHhuWFlnb0o5SjRlSnNOSjhzdmI1LVM0OW5FTFlVUjF0NjJJY2RrM0d6R0lwemtTeHM1ay1kaE1CYUM3dk1uelItUUxQVF8xQQ?oc=5,Japan firms weigh production shift out of China as virus wreaks havoc,Japan Wire by Kyodo News,2020-02-07T08:00:00+00:00
covid_q1_2020,google_news_rss,China coronavirus lockdown electronics supply chain after:2020-01-01 before:2020-05-01,https://news.google.com/rss/articles/CBMipAFBVV95cUxPLWwxZmhrdEFhVG5QVGZkTjI4b0YxVmhvLVFTdjVzNFRMSXFVTnFyQ25lemd5ZEs3LWZXQXE5SFRLeENuMV9IOXh4OWduamMtTmVzUFlfMmhYRTcwYWYwMzJFUjZLaUdYM0NFVmtZM2Z1NU9XeGJHZnRmdXo0NGkxdUw4ZzZhd2ZVeDZzanA1Y3VQNk1XRE0wTjUweTRqQXFPbUZsbg?oc=5,Samsung's supply chain woes highlight the unpredictability of disruptions from the coronavirus,Business Insider,2020-04-14T07:00:00+00:00
covid_q1_2020,google_news_rss,China coronavirus lockdown electronics supply chain after:2020-01-01 before:2020-05-01,https://news.google.com/rss/articles/CBMiigFBVV95cUxNeGExc2cycmdrdGRkMzdscUxWOFFPZDVFamFpWjNFcldJekFneHRGNGxCaXZ2UnlfVHYwVU9oYjBsSWRxMWtwMi1mckcwMl9QMGFIVElwNXB0STZDRjFyMnh1QURfTGFOMjdKQ0JVYTJYNzYwZ054ai1hajY2bTRkNW11d0lQWFhCWHc?oc=5,COVID-19 and the Effects on Supply Chains in Vietnam,Vietnam Briefing,2020-04-10T07:00:00+00:00
covid_q1_2020,google_news_rss,China coronavirus lockdown electronics supply chain after:2020-01-01 before:2020-05-01,https://news.google.com/rss/articles/CBMipAFBVV95cUxOZThoZ19SY1RzdExYampmWkRaZVl3aldqeHhnY0l3OWZHZlVtMkpFSGhWRTlSQ0RmSU8tSEcwR0xJZUtCdzVVVlJpemZsTTU4Z3IzUVNmNURwT1czSHhTTW93TGFhY2N5MExDNV9BU0JSX2VVaTA4OFV0X1lsajZpX2hfakZwWlJyWkZEWmRWM3h5WFNMSk96dUcyNXF3c2IwVHBaSw?oc=5,Not made in China is global tech’s next big trend,The Japan Times,2020-04-04T07:00:00+00:00
